StudentID,HW1,HW2,Final,Total,Grade
88,88,77,58,71.0,S
190,84,63,67,71.0,S
30,89,71,61,71.0,S
239,75,100,53,71.0,S
90,83,78,61,71.0,S
120,90,62,66,71.0,S
66,90,100,46,71.0,S
206,90,54,69,71.0,S
51,100,66,58,71.0,S
77,99,64,57,70.0,S
155,93,76,54,70.0,S
217,79,84,57,70.0,S
216,86,70,62,70.0,S
293,77,42,80,70.0,S
231,87,71,60,70.0,S
188,86,75,58,70.0,S
122,96,58,63,70.0,S
145,74,91,55,69.0,S
158,90,77,54,69.0,S
107,82,71,61,69.0,S
47,100,56,60,69.0,S
279,100,84,45,69.0,S
101,98,67,54,69.0,S
172,83,62,64,69.0,S
71,71,70,66,69.0,S
59,97,78,48,68.0,S
11,78,86,54,68.0,S
54,83,83,53,68.0,S
159,77,61,65,67.0,S
22,81,74,55,67.0,S
200,96,92,39,67.0,S
237,72,81,56,67.0,S
244,82,57,64,67.0,S
89,82,58,64,67.0,S
25,100,31,65,66.0,S
5,91,73,49,66.0,S
276,78,46,68,65.0,S
8,84,54,59,64.0,S
259,81,57,57,63.0,U
291,81,54,57,63.0,U
222,82,77,46,63.0,U
152,95,65,46,63.0,U
103,72,88,44,62.0,U
95,84,66,49,62.0,U
218,100,46,48,61.0,U
80,88,65,43,60.0,U
289,62,50,64,60.0,U
