StudentID,HW1,HW2,Final,Total,Grade
68,84,85,74,80.0,S
107,90,100,64,80.0,S
141,81,57,90,80.0,S
135,100,66,76,80.0,S
60,93,81,73,80.0,S
62,94,77,74,80.0,S
197,87,79,74,79.0,S
67,100,75,70,79.0,S
66,80,86,75,79.0,S
23,92,60,81,79.0,S
98,88,89,68,79.0,S
109,91,99,62,79.0,S
111,100,74,70,79.0,S
168,75,66,86,79.0,S
38,99,79,68,79.0,S
119,96,100,59,79.0,S
149,100,74,71,79.0,S
148,96,92,64,79.0,S
124,78,91,73,79.0,S
172,95,88,64,78.0,S
113,73,98,69,78.0,S
187,84,78,74,78.0,S
114,86,62,81,78.0,S
1,91,73,73,78.0,S
50,98,75,69,78.0,S
96,95,80,67,78.0,S
90,88,100,62,78.0,S
37,100,70,70,78.0,S
59,95,91,62,78.0,S
171,89,70,74,77.0,S
20,90,76,71,77.0,S
151,91,76,69,77.0,S
144,81,97,65,77.0,S
53,90,81,67,77.0,S
36,98,65,72,77.0,S
34,66,100,70,77.0,S
30,76,97,67,77.0,S
70,100,97,54,77.0,S
167,94,71,71,77.0,S
46,98,51,78,77.0,S
150,100,74,66,77.0,S
97,85,76,72,77.0,S
17,84,96,64,77.0,S
177,100,83,62,77.0,S
198,99,95,57,77.0,S
189,100,69,69,77.0,S
18,100,52,75,76.0,S
74,89,97,58,76.0,S
110,88,72,71,76.0,S
143,87,75,71,76.0,S
142,79,75,74,76.0,S
140,79,100,62,76.0,S
154,100,79,62,76.0,S
61,100,74,64,76.0,S
182,100,90,57,76.0,S
164,83,64,78,76.0,S
21,80,83,69,76.0,S
185,85,79,67,75.0,S
100,93,99,53,75.0,S
39,87,66,73,75.0,S
184,86,49,81,75.0,S
191,81,75,72,75.0,S
180,77,82,69,75.0,S
170,76,100,61,75.0,S
186,87,84,63,75.0,S
106,88,81,64,75.0,S
52,72,100,64,75.0,S
139,83,86,65,75.0,S
80,87,89,61,75.0,S
128,100,79,59,75.0,S
77,81,95,60,74.0,S
199,85,87,61,74.0,S
54,90,74,66,74.0,S
192,93,46,78,74.0,S
159,88,92,57,74.0,S
25,100,65,65,74.0,S
165,89,82,60,73.0,S
193,100,84,54,73.0,S
127,97,64,65,73.0,S
200,80,74,68,73.0,S
35,79,74,69,73.0,S
163,75,80,65,72.0,S
15,78,64,73,72.0,S
132,86,87,56,72.0,S
7,84,59,72,72.0,S
194,88,88,56,72.0,S
29,100,62,61,71.0,S
153,85,67,65,71.0,S
5,86,74,62,71.0,S
89,99,47,69,71.0,S
76,90,74,59,71.0,S
49,88,69,62,71.0,S
57,75,69,69,71.0,S
115,76,73,66,71.0,S
188,76,43,80,70.0,S
156,84,73,60,70.0,S
183,84,78,59,70.0,S
118,85,64,65,70.0,S
83,66,61,76,70.0,S
12,89,70,59,70.0,S
81,79,93,53,70.0,S
55,82,62,65,69.0,S
94,86,79,54,69.0,S
161,86,65,62,69.0,S
43,77,74,59,68.0,S
82,85,64,61,68.0,S
85,79,68,61,68.0,S
129,83,81,53,68.0,S
133,78,52,71,68.0,S
28,79,81,54,67.0,S
72,92,54,61,67.0,S
24,78,75,56,67.0,S
10,79,87,51,67.0,S
88,75,73,59,67.0,S
6,74,58,65,66.0,S
181,92,54,56,65.0,S
190,70,66,62,65.0,S
130,70,65,60,64.0,U
